session,time,price_dayvwap_atr,price_weekvwap_atr,price_slvwap_atr,price_shvwap_atr,dayvwap_slvwap_spread_atr,shvwap_dayvwap_spread_atr,shvwap_slvwap_spread_atr,day_slope_atr,slvwap_slope_atr,shvwap_slope_atr,slvwap_freshness_bars,shvwap_freshness_bars,stack_bull,stack_bear,ret_h_close,ret_h_30bar,ret_h_60bar,label_ret_h_close,label_ret_h_30bar,label_ret_h_60bar
NY,2016-01-04 15:00:00,8.258715848237644,8.258715848237644,0.7198578010812741,-0.877025966598011,-7.53885804715637,9.135741814835654,1.596883767679285,0.15212718181555926,-0.014418337794791592,-0.3974758877175761,36,53,0,0,11.31664366059533,12.442168798629602,20.095739737260136,1.0,1.0,1.0
ASIA,2016-01-05 03:00:00,2.6696878603530196,7.797408368200499,1.8282257260079315,2.66968826307445,-0.8414621343450882,-4.027214304730362e-07,-0.8414625370665186,1.1997308008638279,1.3231209695269708,1.1997290077646399,30,63,0,0,2.61974036865886,1.0620569062132545,0.9204493187177604,1.0,1.0,1.0
NY,2016-01-05 15:00:00,3.994038946868518,10.594487692751708,-0.8312505831767036,0.15450326025924438,-4.825289530045222,3.8395356866092736,-0.9857538434359481,0.14465565638778724,0.1750467857606907,0.25078746273974406,60,83,0,0,-4.756104511848655,-4.9759244682789,-5.155777159903274,0.0,0.0,0.0
ASIA,2016-01-06 03:00:00,-1.3988154806148259,12.98701281453698,-1.2882352119631864,-1.187682334630803,0.11058026865163957,-0.21113314598402308,-0.1005528773323835,-0.4080061658299191,-0.473482531343468,-0.6324283658359202,31,23,0,0,3.7742795344410323,-9.04793039078307,-1.861288537532,1.0,0.0,0.0
NY,2016-01-06 15:00:00,10.999286453861375,17.380685180530737,2.5922170885675953,3.3504232345781095,-8.40706936529378,7.648863219283266,-0.7582061460105142,0.356476781033765,1.86823141963962,0.623478416694883,17,59,0,0,-1.5995775530976686,-4.590092108888852,3.254792586302711,0.0,0.0,1.0
ASIA,2016-01-07 03:00:00,-2.1614118491243,40.00609143815545,-1.539632181867601,-1.1739748057259807,0.6217796672566991,-0.9874370433983195,-0.3656573761416204,-0.5056800323875815,-0.5276017169956567,-1.0679887603787517,30,19,0,0,14.78742177163559,12.394081831717301,16.696395295141073,1.0,1.0,1.0
NY,2016-01-07 15:00:00,5.369256367509085,31.45702774291847,2.339500337939397,2.340931722832852,-3.029756029569689,3.0283246446762337,-0.0014313848934548639,0.13646201946820305,0.5508394356527525,0.38520409013404316,32,43,0,0,4.6034009914345235,0.8751712911472116,10.467048642120682,1.0,1.0,1.0
ASIA,2016-01-08 03:00:00,-1.890335052261619,48.80047722842315,-1.670790550501771,-2.0201679610265715,0.21954450175984794,0.1298329087649525,0.3493774105248004,-0.407337299006209,-0.2542276062687571,-0.7206100492853893,71,26,0,1,-11.127510029043037,-10.691137086727537,-9.36019961266578,0.0,0.0,0.0
NY,2016-01-08 15:00:00,-3.448480118220929,20.9687960238034,-0.36478611646487474,-0.8117174671099078,3.0836940017560543,-2.636762651111021,0.446931350645033,-0.06662820337779238,0.3336942184513719,0.2559744013096519,57,47,0,0,6.092700373505498,-0.16175310726105604,4.2954436261587965,1.0,0.0,1.0
ASIA,2016-01-11 03:00:00,-0.9505461427361043,-0.9505461427361043,-0.895917308587913,-0.9921520048500904,0.05462883414819131,0.04160586211398611,0.09623469626217743,-0.042379353104450845,-0.05154222220735774,-0.11141704036446862,39,26,0,1,-6.085050278521941,-2.9272779748951243,-4.425491111652702,0.0,0.0,0.0
NY,2016-01-11 15:00:00,-1.5402136901303805,-1.5402136901303805,-0.7952518753752258,-0.722134345293671,0.7449618147551545,-0.8180793448367093,-0.07311753008155475,-0.018633455833047204,0.054465019995774244,0.06733258698192275,17,23,0,0,-7.8973686016236755,-5.632387251411622,-6.835032216125688,0.0,0.0,0.0
ASIA,2016-01-12 03:00:00,-2.502555329611772,-21.741590279124313,-2.6221657678979637,-2.368663564245953,-0.11961043828619175,-0.13389176536581937,-0.2535022036520111,-0.6821290663290307,-0.7914431815720957,-1.1279527296499516,49,25,0,0,7.038611463538971,0.7390542036709198,0.31673751585896565,1.0,1.0,1.0
NY,2016-01-12 15:00:00,-9.64681730624579,-15.416194361712641,-3.16986336719999,-1.902807812757909,6.476953939045801,-7.744009493487882,-1.267055554442081,-0.5174117092748944,-2.4527637792276202,-3.762373025221929,38,18,0,0,1.291928034628887,2.1316812571374872,-2.9843537599926586,1.0,1.0,0.0
