trade_no,sl_atr_ratio,mins_from_session_open,vwap_distance_atr,spread_at_entry,bos_count,range_exited,sweep_depth_atr,net_r,label,session,model,order_kind,bias,weekday
1,1.372549019607843,38.0,0.9411764705882353,20.0,0.0,1.0,0.8333333333332441,-1.0,loss,ASIA,IFVG,MARKET,BUY,Tuesday
2,2.9411764705882355,80.0,1.1294117647058823,20.0,0.0,1.0,3.4823529411765133,-0.004,scratch,ASIA,IFVG,MARKET,BUY,Tuesday
3,2.4554455445544554,14.0,4.02970297029703,16.0,0.0,1.0,0.8712871287129793,-1.0,loss,NY,CHoCH,LIMIT_DEGRADED,SELL,Tuesday
4,3.1835443037974684,52.0,2.5759493670886076,16.0,0.0,1.0,1.5696202531645684,-0.0199,scratch,NY,IFVG,MARKET,SELL,Tuesday
5,2.328125,16.0,0.09375,20.0,0.0,0.0,2.0468749999999147,-1.0067,loss,ASIA,IFVG,MARKET,SELL,Wednesday
6,1.2307692307692306,36.0,0.07692307692307691,20.0,0.0,0.0,1.3974358974360839,-1.0,loss,ASIA,IFVG,MARKET,SELL,Wednesday
7,1.2249999999999999,40.0,0.075,20.0,0.0,0.0,1.4749999999997954,-1.0,loss,ASIA,IFVG,MARKET,SELL,Wednesday
8,1.1578947368421053,42.0,7.052631578947369,16.0,0.0,1.0,0.7039473684210107,1.0284,win,NY,IFVG,MARKET,SELL,Wednesday
9,2.942857142857143,45.0,0.8571428571428572,20.0,3.0,1.0,0.842857142857026,-1.0,loss,ASIA,CHoCH,LIMIT,SELL,Thursday
10,0.987012987012987,82.0,0.7792207792207791,20.0,0.0,1.0,4.064935064935207,-0.0263,loss,ASIA,IFVG,MARKET,SELL,Thursday
11,1.8586956521739129,16.0,0.45652173913043476,16.0,0.0,1.0,1.5652173913041598,2.1579,win,NY,CHoCH,LIMIT_DEGRADED,SELL,Thursday
12,1.3918918918918919,48.0,0.6621621621621622,20.0,1.0,1.0,0.18918918918901712,-1.0097,loss,ASIA,CHoCH,LIMIT,BUY,Friday
13,1.8196721311475412,73.0,0.8032786885245902,20.0,1.0,1.0,0.6065573770490015,-0.018,scratch,ASIA,CHoCH,LIMIT,BUY,Friday
14,2.08,102.0,0.98,20.0,0.0,1.0,1.0,-1.0,loss,ASIA,IFVG,MARKET,BUY,Friday
15,5.639484978540772,33.0,0.8412017167381974,16.0,1.0,1.0,0.36051502145919234,-1.0244,loss,NY,CHoCH,LIMIT,SELL,Friday
16,0.5773420479302832,56.0,0.42701525054466233,16.0,0.0,1.0,1.5947712418300515,-1.0,loss,NY,CHoCH,LIMIT_DEGRADED,SELL,Friday
17,1.8413793103448275,70.0,0.6758620689655173,16.0,0.0,1.0,1.475862068965508,-1.0449,loss,NY,IFVG,MARKET,SELL,Friday
18,3.2553191489361706,10.0,2.5319148936170213,20.0,0.0,0.0,2.5957446808506384,-1.0,loss,ASIA,IFVG,MARKET,BUY,Monday
19,1.9931034482758623,16.0,3.8551724137931034,16.0,1.0,1.0,3.4689655172413607,-0.0381,loss,NY,CHoCH,LIMIT,SELL,Monday
20,1.6439393939393938,76.0,4.234848484848484,16.0,0.0,1.0,0.5757575757575688,-1.0,loss,NY,IFVG,MARKET,SELL,Monday
21,1.78,110.0,3.7266666666666666,16.0,0.0,1.0,1.9866666666666788,-1.0,loss,NY,CHoCH,LIMIT_DEGRADED,SELL,Monday
22,1.8235294117647058,11.0,2.852941176470588,20.0,1.0,1.0,0.2794117647059626,-1.0,loss,ASIA,CHoCH,LIMIT,BUY,Tuesday
23,1.460526315789474,56.0,2.552631578947368,20.0,1.0,1.0,3.8552631578948207,1.2252,win,ASIA,CHoCH,LIMIT,BUY,Tuesday
24,2.2037037037037033,32.0,1.6666666666666665,16.0,0.0,1.0,3.3703703703704626,1.2143,win,NY,IFVG,MARKET,BUY,Tuesday
25,1.1973684210526316,70.0,0.11842105263157894,20.0,1.0,1.0,4.315789473684174,-1.011,loss,ASIA,CHoCH,LIMIT,SELL,Wednesday
26,2.576271186440678,90.0,0.15254237288135594,20.0,0.0,1.0,1.2372881355932512,2.2368,win,ASIA,IFVG,MARKET,SELL,Wednesday
27,2.177570093457944,20.0,0.43925233644859807,16.0,0.0,1.0,1.4859813084111384,0.0,scratch,NY,IFVG,MARKET,SELL,Wednesday
28,2.0409836065573774,100.0,0.38524590163934425,16.0,0.0,1.0,1.7377049180326976,1.0402,win,NY,CHoCH,LIMIT_DEGRADED,SELL,Wednesday
29,1.2542372881355932,25.0,1.6949152542372883,20.0,2.0,1.0,0.3050847457628198,-0.0135,scratch,ASIA,CHoCH,LIMIT,BUY,Thursday
30,2.6949152542372885,48.0,1.6949152542372883,20.0,0.0,1.0,1.8813559322032203,1.0503,win,ASIA,IFVG,MARKET,BUY,Thursday
31,1.4148936170212767,8.0,0.4893617021276596,16.0,1.0,1.0,1.5638297872340716,1.391,win,NY,CHoCH,LIMIT,BUY,Thursday
32,0.6666666666666666,34.0,2.076923076923077,20.0,0.0,1.0,2.128205128205233,-1.0192,loss,ASIA,IFVG,MARKET,SELL,Friday
33,2.2222222222222223,70.0,2.2500000000000004,20.0,0.0,1.0,3.2083333333332575,-1.0,loss,ASIA,IFVG,MARKET,SELL,Friday
34,1.6515151515151516,98.0,2.4545454545454546,20.0,0.0,1.0,1.2878787878789946,-1.0092,loss,ASIA,IFVG,MARKET,SELL,Friday
35,1.5135135135135136,22.0,4.97972972972973,16.0,1.0,1.0,2.695945945946106,5.6321,win,NY,CHoCH,LIMIT,BUY,Friday
36,1.8571428571428574,72.0,0.5285714285714286,20.0,0.0,1.0,1.042857142857169,4.6258,win,ASIA,CHoCH,LIMIT_DEGRADED,BUY,Monday
